# fixture: world-nonzero-zone-origin
# engine: EnergyPlus, Version 26.1.0-6f2e40d102
# frame: Vertices are shown starting at Upper-Left-Corner => Counter-Clockwise => World Coordinates
# mirrored shading surfaces dropped: 21
# engine-created interzone surfaces dropped: 0
# surfaces with no vertices dropped: 0
# generated by checks/geometry-vertices/regenerate.py; do not hand-edit
# rows are ragged by design: three columns per vertex, vertex_count of them
kind,name,surface_class,base_surface,vertex_count,vertices
HeatTransfer Surface,ZN001:WALL007,Wall,,4,18.18,8.08,10.00,18.18,8.08,0.00,24.08,8.08,0.00,24.08,8.08,10.00
HeatTransfer Surface,ZN001:WALL007:WIN001,Window,ZN001:WALL007,4,19.58,8.08,7.20,19.58,8.08,2.20,22.58,8.08,2.20,22.58,8.08,7.20
HeatTransfer Surface,ZN001:WALL008,Wall,,4,24.08,8.08,10.00,24.08,8.08,0.00,24.08,5.08,0.00,24.08,5.08,10.00
HeatTransfer Surface,ZN001:WALL009,Wall,,4,24.08,5.08,10.00,24.08,5.08,0.00,30.08,5.08,0.00,30.08,5.08,10.00
HeatTransfer Surface,ZN001:WALL009:WIN001,Window,ZN001:WALL009,4,25.58,5.08,7.20,25.58,5.08,2.20,28.58,5.08,2.20,28.58,5.08,7.20
HeatTransfer Surface,ZN001:WALL010,Wall,,4,30.08,5.08,10.00,30.08,5.08,0.00,30.08,10.28,0.00,30.08,10.28,10.00
HeatTransfer Surface,ZN001:WALL011,Wall,,4,30.08,10.28,10.00,30.08,10.28,0.00,35.38,10.28,0.00,35.38,10.28,10.00
HeatTransfer Surface,ZN001:WALL011:WIN001,Window,ZN001:WALL011,4,30.98,10.28,7.20,30.98,10.28,2.20,33.98,10.28,2.20,33.98,10.28,7.20
HeatTransfer Surface,ZN001:WALL012,Wall,,4,35.38,10.28,10.00,35.38,10.28,0.00,35.38,7.48,0.00,35.38,7.48,10.00
HeatTransfer Surface,ZN001:WALL013,Wall,,4,35.38,7.48,10.00,35.38,7.48,0.00,41.48,7.48,0.00,41.48,7.48,10.00
HeatTransfer Surface,ZN001:WALL013:WIN001,Window,ZN001:WALL013,4,36.88,7.48,7.20,36.88,7.48,2.20,39.88,7.48,2.20,39.88,7.48,7.20
HeatTransfer Surface,ZN001:WALL014,Wall,,4,41.48,7.48,10.00,41.48,7.48,0.00,41.48,18.38,0.00,41.48,18.38,10.00
HeatTransfer Surface,ZN001:WALL015,Wall,,4,41.48,18.38,10.00,41.48,18.38,0.00,1.98,18.38,0.00,1.98,18.38,10.00
HeatTransfer Surface,ZN001:WALL015:WIN001,Window,ZN001:WALL015,4,40.88,18.38,7.50,40.88,18.38,4.50,4.88,18.38,4.50,4.88,18.38,7.50
HeatTransfer Surface,ZN001:WALL016,Wall,,4,1.98,18.38,10.00,1.98,18.38,0.00,1.98,5.98,0.00,1.98,5.98,10.00
HeatTransfer Surface,ZN001:FLR001,Floor,,16,1.98,5.98,0.00,1.98,18.38,0.00,41.48,18.38,0.00,41.48,7.48,0.00,35.38,7.48,0.00,35.38,10.28,0.00,30.08,10.28,0.00,30.08,5.08,0.00,24.08,5.08,0.00,24.08,8.08,0.00,18.18,8.08,0.00,18.18,4.58,0.00,12.88,4.58,0.00,12.88,8.98,0.00,7.28,8.98,0.00,7.28,5.98,0.00
HeatTransfer Surface,ZN001:ROOF001,Roof,,16,1.98,5.98,10.00,7.28,5.98,10.00,7.28,8.98,10.00,12.88,8.98,10.00,12.88,4.58,10.00,18.18,4.58,10.00,18.18,8.08,10.00,24.08,8.08,10.00,24.08,5.08,10.00,30.08,5.08,10.00,30.08,10.28,10.00,35.38,10.28,10.00,35.38,7.48,10.00,41.48,7.48,10.00,41.48,18.38,10.00,1.98,18.38,10.00
HeatTransfer Surface,ZN002:WALL001,Wall,,4,101.98,5.98,10.00,101.98,5.98,0.00,107.28,5.98,0.00,107.28,5.98,10.00
HeatTransfer Surface,ZN002:WALL001:WIN001,Window,ZN002:WALL001,4,103.08,5.98,7.60,103.08,5.98,2.60,106.08,5.98,2.60,106.08,5.98,7.60
HeatTransfer Surface,ZN002:WALL002,Wall,,4,107.28,5.98,10.00,107.28,5.98,0.00,107.28,8.98,0.00,107.28,8.98,10.00
HeatTransfer Surface,ZN002:WALL003,Wall,,4,107.28,8.98,10.00,107.28,8.98,0.00,112.88,8.98,0.00,112.88,8.98,10.00
HeatTransfer Surface,ZN002:WALL003:WIN001,Window,ZN002:WALL003,4,108.58,8.98,7.50,108.58,8.98,2.50,111.58,8.98,2.50,111.58,8.98,7.50
HeatTransfer Surface,ZN002:WALL004,Wall,,4,112.88,8.98,10.00,112.88,8.98,0.00,112.88,4.58,0.00,112.88,4.58,10.00
HeatTransfer Surface,ZN002:WALL005,Wall,,4,112.88,4.58,10.00,112.88,4.58,0.00,118.18,4.58,0.00,118.18,4.58,10.00
HeatTransfer Surface,ZN002:WALL005:WIN001,Window,ZN002:WALL005,4,114.08,4.58,7.10,114.08,4.58,2.10,117.08,4.58,2.10,117.08,4.58,7.10
HeatTransfer Surface,ZN002:WALL006,Wall,,4,118.18,4.58,10.00,118.18,4.58,0.00,118.18,8.08,0.00,118.18,8.08,10.00
HeatTransfer Surface,ZN002:WALL007,Wall,,4,118.18,8.08,10.00,118.18,8.08,0.00,124.08,8.08,0.00,124.08,8.08,10.00
HeatTransfer Surface,ZN002:WALL007:WIN001,Window,ZN002:WALL007,4,119.58,8.08,7.20,119.58,8.08,2.20,122.58,8.08,2.20,122.58,8.08,7.20
HeatTransfer Surface,ZN002:WALL008,Wall,,4,124.08,8.08,10.00,124.08,8.08,0.00,124.08,5.08,0.00,124.08,5.08,10.00
HeatTransfer Surface,ZN002:WALL009,Wall,,4,124.08,5.08,10.00,124.08,5.08,0.00,130.08,5.08,0.00,130.08,5.08,10.00
HeatTransfer Surface,ZN002:WALL009:WIN001,Window,ZN002:WALL009,4,125.58,5.08,7.20,125.58,5.08,2.20,128.58,5.08,2.20,128.58,5.08,7.20
HeatTransfer Surface,ZN002:WALL010,Wall,,4,130.08,5.08,10.00,130.08,5.08,0.00,130.08,10.28,0.00,130.08,10.28,10.00
HeatTransfer Surface,ZN002:WALL011,Wall,,4,130.08,10.28,10.00,130.08,10.28,0.00,135.38,10.28,0.00,135.38,10.28,10.00
